0.43,0.0400873,0.86047,0.507921,1.12892,43.3055,24.9874,-0.344188,0.0160349,0,0.494882,0.428274,-0.764597
0.44,0.0426956,0.865224,0.499565,1.12918,43.3064,24.9859,-0.34609,0.0170782,0,0.0159205,0.502688,-0.871993
0.45,0.0403785,0.870111,0.491199,1.12941,43.3058,24.9869,-0.348044,0.0161514,0,-0.469553,0.454165,-0.76591
0.46,0.0336841,0.873927,0.484889,1.13187,43.3045,24.9891,-0.349571,0.0134736,0,-0.840773,0.292901,-0.469496
0.47,0.0242627,0.87572,0.482209,1.13675,43.3036,24.9903,-0.350288,0.00970508,0,-1.00313,0.0581812,-0.0551872
0.48,0.0144647,0.875039,0.483836,1.14209,43.304,24.9894,-0.350016,0.00578587,0,-0.914667,-0.191122,0.372998
0.49,0.00673784,0.872057,0.489357,1.14561,43.3053,24.9869,-0.348823,0.00269514,0,-0.598267,-0.392254,0.707252
0.5,0.00299696,0.867522,0.49739,1.14673,43.3064,24.9851,-0.347009,0.00119879,0,-0.134939,-0.495492,0.865025
0.51,0.00414702,0.862557,0.505943,1.14718,43.3062,24.9853,-0.345023,0.00165881,0,0.359215,-0.476791,0.809913
0.52,0.00988482,0.858375,0.512927,1.14943,43.3051,24.9872,-0.34335,0.00395393,0,0.763941,-0.34258,0.55858
0.53,0.0188074,0.855983,0.516662,1.15438,43.3041,24.9887,-0.342393,0.00752295,0,0.983713,-0.126454,0.173694
0.54,0.0287683,0.85595,0.516258,1.16038,43.3044,24.988,-0.34238,0.0115073,0,0.9678,0.119809,-0.252573
0.55,0.0373821,0.858287,0.511807,1.1647,43.3058,24.9853,-0.343315,0.0149528,0,0.71973,0.337897,-0.619212
0.56,0.0425715,0.862439,0.504368,1.16614,43.3073,24.9827,-0.344976,0.0170286,0,0.296733,0.475389,-0.837933
0.57,0.0430605,0.867408,0.49573,1.16604,43.3075,24.9823,-0.346963,0.0172242,0,-0.200976,0.497707,-0.85341
0.58,0.0387049,0.871981,0.488008,1.16706,43.3065,24.984,-0.348792,0.0154819,0,-0.651683,0.397469,-0.658519
0.59,0.0305625,0.875023,0.483116,1.1707,43.3052,24.9861,-0.350009,0.012225,0,-0.941957,0.198051,-0.299122
0.6,0.0206542,0.875772,0.482283,1.17611,43.3048,24.9864,-0.350309,0.00826167,0,-0.997266,-0.0511424,0.135578
0.61,0.0114562,0.874041,0.485717,1.18089,43.3058,24.9846,-0.349617,0.00458249,0,-0.803281,-0.287349,0.536027
0.62,0.00526136,0.870266,0.492554,1.1833,43.3071,24.9822,-0.348106,0.00210454,0,-0.410038,-0.451398,0.80193
0.63,0.00359362,0.865389,0.501088,1.18382,43.3077,24.9811,-0.346156,0.00143745,0,0.082585,-0.503424,0.868832
0.64,0.00684149,0.860611,0.509216,1.18479,43.307,24.9823,-0.344245,0.0027366,0,0.552619,-0.4324,0.723361
0.65,0.0141946,0.857092,0.514968,1.18827,43.3058,24.9843,-0.342837,0.00567786,0,0.887227,-0.257278,0.403748
0.66,0.0238709,0.855674,0.516965,1.19401,43.3053,24.9849,-0.34227,0.00954837,0,1.00832,-0.0208486,-0.0120512
